host,_time,Speed
D01A2227V,2024-09-10T18:44:00.000+00:00,0.46
D01A2227V,2024-09-10T19:00:00.000+00:00,7.92
D01A2227V,2024-09-10T19:02:00.000+00:00,0.215
D01A2227V,2024-09-10T19:02:10.000+00:00,0
D01A2227V,2024-09-10T19:02:20.000+00:00,1.21
D01A2227V,2024-09-10T19:02:30.000+00:00,1.33
D01A2227V,2024-09-10T19:02:40.000+00:00,0
D01A2227V,2024-09-10T19:02:50.000+00:00,0.8
D01A2227V,2024-09-10T19:03:10.000+00:00,0.335
D01A2227V,2024-09-10T19:03:30.000+00:00,0
D01A2227V,2024-09-10T19:03:40.000+00:00,5.55
D01A2227V,2024-09-10T20:20:10.000+00:00,12.57
D01A2227V,2024-09-10T20:36:10.000+00:00,2.93
D01A2227V,2024-09-10T20:52:20.000+00:00,14.1
D01A2227V,2024-09-10T20:52:30.000+00:00,12.64
D01A2227V,2024-09-10T20:52:40.000+00:00,9.12
D01A2227V,2024-09-10T21:42:00.000+00:00,0
D01A2227V,2024-09-13T10:50:30.000+00:00,12.42
D01A2227V,2024-09-13T10:50:40.000+00:00,0
D01A2227V,2024-09-13T11:06:40.000+00:00,0.73
D01A2227V,2024-09-13T11:22:40.000+00:00,0
D01A2227V,2024-09-13T11:54:50.000+00:00,7.99
D01A2227V,2024-09-13T12:07:10.000+00:00,1.15
D01A2227V,2024-09-13T12:07:20.000+00:00,1.71
D01A2227V,2024-09-13T12:07:30.000+00:00,0.99
D01A2227V,2024-09-13T12:07:40.000+00:00,0
D01A2227V,2024-09-13T12:07:50.000+00:00,0.5
D01A2227V,2024-09-13T12:08:00.000+00:00,0
D01A2227V,2024-09-13T12:08:10.000+00:00,0
D01A2227V,2024-09-13T12:08:20.000+00:00,0
D01A2227V,2024-09-13T12:08:30.000+00:00,0.42
D01A2227V,2024-09-13T12:08:40.000+00:00,0
D01A2227V,2024-09-13T12:08:50.000+00:00,0.16
D01A2227V,2024-09-13T12:09:00.000+00:00,0
D01A2227V,2024-09-13T12:09:10.000+00:00,0.33
D01A2227V,2024-09-13T12:09:20.000+00:00,0.37
D01A2227V,2024-09-13T12:09:30.000+00:00,0.65
D01A2227V,2024-09-13T12:09:40.000+00:00,0.76
D01A2227V,2024-09-13T12:09:50.000+00:00,0.77
D01A2227V,2024-09-13T12:10:00.000+00:00,0.3
D01A2227V,2024-09-13T12:10:10.000+00:00,0
D01A2227V,2024-09-13T12:10:20.000+00:00,3.1
D01A2227V,2024-09-13T12:10:30.000+00:00,1.35
D01A2227V,2024-09-13T12:10:40.000+00:00,0.88
D01A2227V,2024-09-13T12:10:50.000+00:00,0.78
D01A2227V,2024-09-13T12:11:00.000+00:00,0.97
D01A2227V,2024-09-13T12:11:10.000+00:00,1.23
D01A2227V,2024-09-13T12:11:20.000+00:00,1.06
D01A2227V,2024-09-13T12:11:30.000+00:00,0.62
D01A2227V,2024-09-13T12:11:40.000+00:00,0.44
D01A2227V,2024-09-13T12:11:50.000+00:00,0.75
D01A2227V,2024-09-13T12:12:00.000+00:00,2.78
D01A2227V,2024-09-13T12:12:10.000+00:00,0.38
D01A2227V,2024-09-13T12:12:20.000+00:00,0.77
D01A2227V,2024-09-13T12:12:30.000+00:00,0.67
D01A2227V,2024-09-13T12:12:40.000+00:00,2.48
D01A2227V,2024-09-13T12:12:50.000+00:00,0.48
D01A2227V,2024-09-13T12:13:00.000+00:00,0.17
D01A2227V,2024-09-13T12:13:10.000+00:00,1.29
D01A2227V,2024-09-13T12:13:20.000+00:00,0.32
D01A2227V,2024-09-13T12:13:30.000+00:00,0.59
D01A2227V,2024-09-13T12:13:40.000+00:00,0
D01A2227V,2024-09-13T12:13:50.000+00:00,0.89
D01A2227V,2024-09-13T12:14:00.000+00:00,0.59
D01A2227V,2024-09-13T12:14:10.000+00:00,0
D01A2227V,2024-09-13T12:14:20.000+00:00,1.1
D01A2227V,2024-09-13T12:14:30.000+00:00,0.99
D01A2227V,2024-09-13T12:14:40.000+00:00,0.16
D01A2227V,2024-09-13T12:14:50.000+00:00,0.18
D01A2227V,2024-09-13T12:15:00.000+00:00,0.39
D01A2227V,2024-09-13T12:15:10.000+00:00,0
D01A2227V,2024-09-13T12:15:20.000+00:00,1
D01A2227V,2024-09-13T12:15:30.000+00:00,0.41
D01A2227V,2024-09-13T12:15:40.000+00:00,0.69
D01A2227V,2024-09-13T12:15:50.000+00:00,0
D01A2227V,2024-09-13T12:16:00.000+00:00,0.27
D01A2227V,2024-09-13T12:16:10.000+00:00,0.23
D01A2227V,2024-09-13T12:16:20.000+00:00,1.44
D01A2227V,2024-09-13T12:16:30.000+00:00,0
D01A2227V,2024-09-13T12:16:40.000+00:00,0.15
D01A2227V,2024-09-13T12:16:50.000+00:00,0.61
D01A2227V,2024-09-13T12:17:00.000+00:00,0.31
D01A2227V,2024-09-13T12:17:10.000+00:00,0
D01A2227V,2024-09-13T12:17:20.000+00:00,1.4
D01A2227V,2024-09-13T12:17:30.000+00:00,0
D01A2227V,2024-09-13T12:17:40.000+00:00,0
